Question,Option A,Option B,Option C,Option D
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Michelangelo
In which year did the Titanic sink?,1905,1912,1920,1898
Which country is famous for the Great Wall?,India,China,Japan,Mongolia
Which continent is the Sahara Desert located in?,Asia,Africa,South America,Australia
Who wrote the play 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic
What is the square root of 64?,6,8,10,7
Who discovered gravity?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla
What is the primary color of a banana?,Red,Yellow,Green,Blue
What is the freezing point of water in Celsius?,0째C,32째C,-1째C,100째C
Which language is the most spoken worldwide?,Spanish,English,Mandarin,Hindi
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter
Who is known as the Father of Computers?,Alan Turing,Charles Babbage,John von Neumann,Bill Gates
What is the capital city of France?,Berlin,Madrid,Paris,Rome
What is the chemical symbol for water?,O2,H2O,CO2,NaCl
What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Great White Shark
What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen
Which country is known for the Eiffel Tower?,Italy,Germany,France,Spain
What is the smallest prime number?,1,2,3,5
What is the largest planet in our Solar System?,Earth,Mars,Jupiter,Saturn
Who discovered gravity?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla